Sr.no,name,year,movie_rated,run_length,genres,release_date,IMDB_rating,num_raters,num_reviews,review_url,image_Url,rating,keyword,review_date,review,sentiments
1,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,9,Amazing non-stop action and eye-popping skyscraper scenes!,2008-07-24,I first need to point out that I generally hate action films--they just aren't a genre I generally would go to see. However  my teenage daughter saw the film and DEMANDED that we immediately go to an IMAX-equipped theater and see it as soon as possible. Had I not agreed  I think she would have threatened force or threaten to leave home  so I reluctantly agreed. I'm pointing all this out up front so you'll understand that if I didn't give this movie a 10 and found a few minor problems with the plot  it's probably because of my bias. However  for me to give an action film a 9 is very  very unusual--it was a terrific film and almost earns a 10.As far as action goes  it was nearly non-stop and there were more eye-popping stunts in it than nearly any film you could see. Plus  I truly recommend that if you do have an IMAX theater nearby that is showing it you go there and not to a regular theater. The sounds  the sights and the action are just amazing on this huge screen--and in hindsight I probably should have taken my hearing aids out before the film began--I DIDN'T need them! For many  this will make the film a must-see  though I admit that it was was a bit tiring after a while--for an old fogy like myself  maybe there was a bit too much action--though teens and action fans will adore it.The characters were excellent--with the possible exception of Batman. He was fine  but I wish he'd have stopped mumbling in his deep voice. This made him a lot less interesting and perhaps less likable than the villains!! As for the villains  the Joker was great and very  very sadistic and I liked Harvey Dent as well (especially after his cool makeup job late in the film). Oddly  perhaps my favorite character was a guy who was only a bit character--Tommy 'Tiny' Lister who played one of the scariest prisoners I have ever seen in film. His bit part on the ferry boat was really exceptional.Overall  this film is better than any superhero film I have ever seen and much better than the earlier Batman films. My only serious problem was the ending--what Gordon and Batman agree to do made no sense at all and wasn't necessary. Still  with such amazing eye-candy  who am I to complain? A wonderful ride and a must-see movie for action and superhero fans. HOWEVER  it is a very violent film intended for adults--I would not take kids or even some teens to the film--it's THAT dark and intense.As of today (7/26/08)  this is by far the highest rated film on IMDb. If these numbers can be believed  this film is better than THE GODFATHER  CASABLANCA  GONE WITH THE WIND and 12 ANGRY MEN! Let's have a bit of perspective here--it's a very  very good film but the cult members out there need to get a grip.,positive
2,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,8,Very well made  moody and gripping with a brilliant Heath Ledger  if a tad bloated,2010-04-03,I grew up on the animated series  loved the first two Batman films  sort of liked Batman Forever but disappointed in Batman and Robin. I have yet to re-watch Batman Begins  but I thoroughly enjoyed this film on re-watch having really liked it first time. It is very well made and gripping with some great performances  but personally I would put Casablanca  Wizard of Oz  Amadeus and It's a Wonderful Life over this.The film does suffer from being a little too talky  and the plot on occasions can be hard to follow due to a lot going on. Nevertheless it is extremely good  and not only one of the better Batman movies but also one of the better superhero movies. Visually and technically  the film cannot be faulted. The cinematography is superb and the spectacle of Gotham City is dazzling. Christopher Nolan's direction is taut  and ensures that the action is explosive.The plot is a little bloated  with the Joker bent on destroying organised crime for good and making Batman cross between hero and vigilante  and subplots about Harvey Dent and Rachel Dawes  and Hong Kong. But there are some truly effective scenes that are tightly structured  and the screenplay in general while a little too talky in the first twenty minutes is intelligent and sophisticated. The Joker especially has some very sinister lines that stay with you for a long while afterwards.The music by none other than maestro Hans Zimmer  who also composed music for The Lion King  Gladiator and the Pirates of the Caribbean movies  is outstanding. Rousing  beautiful  haunting  it is definitely memorable and doesn't become forgettable or generic like the music in The Hurt Locker for example. And I have to say the sound engineering here is phenomenal  particularly on very high volume the explosions sound very authentic as if they are coming from outside rather than from in the film.And I have to mention the acting  as that was terrific. Christian Bale manages to be dark  brooding and charismatic like Batman should be. Though if I did have a complaint  he does speak in a very hoarse voice as if he's got a sore throat and I somehow did not know what to make of it. It wasn't irritating or anything  just...odd. Anyway  Aaron Eckhart is terrific as Harvey Dent/Two-Face even if his storyline was a tad too rushed  and Maggie Gyllenhaal is very sensitive and caring as Rachel. Morgan Freeman does well in a smaller role  as does the excellent Gary Oldman  and Michael Caine is perfect as the loyal butler Alfred.There is no doubt in my mind that Heath Ledger gave the best performance of the film. He wasn't just brilliant  he was phenomenal  unpredictable  insane  extremely sinister and corrupt not to mention chillingly psychotic. I am torn on who I prefer over Jack Nicolson or Heath Ledger; it is a very close call. I admit I am more familiar with Nicolson's portrayal and liked his mix of the scary and comical and even tragic Joker  but the Joker here in The Dark Knight is truly sinister and even more of a threat to Batman and in my opinion this Joker has lines that linger longer into the memory.Overall  not absolutely perfect but it is extremely good thanks to primarily Ledger's performance and the dazzling visual spectacle. 8.5/10 Bethany Cox,negative
3,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,8,Dark  bleak  and uncompromising,2016-06-03,Following on from BATMAN BEGINS comes Christopher Nolan's second entry in the revitalised Batman film series. I thoroughly enjoyed the first movie and looked forward to this one  aware that many principal cast members were returning. Add to this all the fuss surrounding Heath Ledger's untimely demise and his supposedly terrifying performance as the Joker  and I walked into the cinema ready for a great time. I wasn't disappointed.This is Hollywood blockbuster film-making at its finest: intelligent  well-scripted  with great effects  acting and choreography. This is a powerful  brooding film  even darker than its predecessor  that packs a whole lotta violence into a 12a certificate movie. Okay  so this film ain't gory  but it's certainly one of the most violent and disturbing flicks I've seen in a while. A lot of that is down to Ledger's performance  which has rightly been called brilliant. Blowing memories of Jack Nicholson out of the water  Ledger is a virtuoso in the role  a real freak of nature  a repulsive killer stealing every scene. It's the best performance this actor ever gave  and it's a shame he died when he was just realising his true potential as an actor and not as a wooden pretty boy.The film kicks off with action and follows it with more action. Car chases  fantastic technology (the sonar stuff breaks new boundaries)  some martial arts fights and the biggest and best explosion seen on film...they're all here and they never let up. The bone-breaking blows that Batman rains down on the villains are incredibly powerful and I still can't work out how this achieved a kiddie-friendly rating. The script has plenty of twists and turns  including the deaths of some notable leading characters  and plenty of characterisation as well. Themes of good and evil and what it means to be a hero are explored well and the actors all do their roles justice. Special mention goes to Aaron Eckhart  an actor who I've previously found bland but who's excellent as DA Harvey Dent here.If I had any complaints  it would be that Bale hardly gets a look in as Batman takes a back seat to the villains on display. But when they're so good  who cares? Old-timers Caine and Freeman add sparkle  humour and warmth to their parts and there are lots of laughs along the way to go with the shocks and chills. I found Gyllenhaal to be a lacklustre replacement for Katie Holmes  but she's barely around so that doesn't matter. Special effects are top-notch  with one make-up/CGI job surpassing Arnie's ruined face in TERMINATOR 3. So THE DARK KNIGHT is a fantastic film – dark  bleak and uncompromising. It may be a little too much for some viewers  but I loved every second of it – and I look forward to watching it again. A great film.,negative
4,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,0,Great Film,2008-12-23,"Dark Knight  The (2008) **** (out of 4) I'll be honest and admit that I'm not much of a fan of the so called ""comic book"" movies out there. I'll also be honest and admit that I didn't care for the previous series of Batman movies from Burton and Schumacher. Batman Begins on the other hand was a different story as it found it to be incredibly good but a rare occasion as occurred as this sequel is even better. I've always felt that comic book movies didn't contain enough elements of a dark nature nor did they contain very much adult-themed stuff but that's certainly not the case here as this movie contains enough character development and moral questions for three movies. The epic nature of this movie makes it a one of a kind even though I think the 151-minute running time is the only fault in the film. It's rather amazing at how dark this movie is yet movie crowds ate it up but perhaps they ate so much of it up simply because of how dark it is. This film works on so many levels but I think the biggest are its screenplay and actors. The darkness of the story is perfectly brought to the screen by Nolan with his masterful direction  which paints the perfect picture of corruption  greed and moral responsibility. All of the characters from The Joker to Harvey Dent to even Batman must face various moral issues and this type of stuff not only makes for great drama but it brings a lot of depth to this ""comic book"" movie. The performances are all quite remarkable and that includes the late Heath Ledger as The Joker. Before seeing the film I kept asking myself if his performance could top that of Jack Nicholson but I think that question shouldn't even be asked as both performances are so completely different that you can't compare them. Ledger certainly steals the show and leaves the viewer with goose bumps each time he's on the screen. It really seems as if he just floats through each scene as if he were a ghost roaming around. The walk that Ledger brings to the character is so refreshing and original that I couldn't take my eyes off of him. That wonderful talk and the brilliant line giving just adds to the fun and was it ever great to see such a dark villain. Christian Bale is also once again very good in the role of Bruce Wayne and Batman. Again  the screenplay benefits Bale greatly by having him just as dark as the villains. Aaron Eckhart is getting overshadowed by Ledger but he too really deserves a lot of credit as he probably gives the best performance of anyone dealing with the moral issues. His stint as Dent is perfect for a hero and his turn as Two-Face is perfect for a villain. Maggie Gyllenhaal also does a good job in the love interests role as does Michael Caine  Eric Roberts and Morgan Freeman. Gary Oldman also shines in his role of Gordon. What makes the special effects so great is that the movie isn't in their hand as far as entertainment goes. Yes  the effects and chase sequences look great but they work even better because the screenplay gives us characters to care about. I won't go as far as to call this one of the greatest films ever made but I do think it has to change the way comic book movies are made.",positive
5,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,9,Heath Ledger makes this great,2013-11-01,Batman takes on the crime lords with the help of Lieutenant Jim Gordon and District Attorney Harvey Dent. However an even bigger evil rises to terrorize Gotham.Maggie Gyllenhaal is an improvement over Katie Holmes as Rachel Dawes. Aaron Eckhart adds a good performance as Harvey Dent. In the end  this is Heath Ledger's movie. He overpowers everybody. His early death may have immortalized him  but my opinion isn't inflated. His presence is electric. It helps that his character is so ridiculously crazy. His motivation has nothing to do with power or money which is so mundane. He wants chaos and that is so much more fascinating. Heath Ledger makes this movie great. And it surpasses the series reboot 'Batman Begins'.,positive
6,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,9,I've Gone Batty!,2009-01-12,This movie has everything. The cameras  the sounds  the really cool characters. For me  it's one of few adventure movies worth watching more than once. And  of course  Heath Ledger is as awesome as everyone says. The characterization is so much deeper than the other films. We get to see multidimensional people with purpose  even if the purpose to to kill and maim. We care about what happens for a change and we go along for the ride. A small criticism is that it is awfully long and it takes so much time to resolve itself. Also  people do some pretty stupid things  considering what a threat this guy is. These are little things and without them we wouldn't have the huge finale.,positive
7,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,7,The Dark Knight,2020-01-28,After Batman Begins. Director Christopher Nolan went into a brooding nihilistic territory with The Dark Knight.It introduces The Joker (Heath Ledger) a psychopath laced with cynicism and determined to create chaos. It starts off with a punchy bank heist which The Joker uses to creatively eliminate his cohorts.In Gotham City  Batman (Christian Bale) is happy to see the new District Attorney Harvey Dent (Aaron Eckhart) to take on the villains. Dent is also seeing a lot of Rachel Dawes (Maggie Gyllenhaal.)However The Joker creates an alliance with the ring leaders of organised crime in the city and then takes the fight to Batman. Meanwhile Dent realises the extent of corruption in the local police with James Gordon (Gary Oldman) the only honest cop about.Nolan a fan of James Bond films has created several terrific action scenes. One set in Hong Kong is a more over the top homage to a Sean Connery circa Bond film.Nolan also deftly introduces a second villain in the form of Two Face. Much better here than Tommy Lee Jones unconvincingly camping it up with weak material In Batman Forever.Ultimately Nolan puts humanity to test here as The Joker places two bombs in two ships. One full of civilians and another full of prisoners being evacuated. The Joker wants destruction and turmoil. He simply wants to watch the world burn.The Dark Knight is also bloated and at times cumbersome with its long running time.,positive
8,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,9,Sometimes the Truth is not Good Enough,2008-12-31,"Batman (Christian Bale) joins force with Lieutenant James Gordon (Gary Oldman) and the incorruptible District Attorney Harvey Dent (Aaron Eckhart)  who is his rival in the love for Rachel Dawes (Maggie Gyllenhaal)  to fight the organized crime in Gothan City. However  chaos is installed in the city with the arrival of the sadistic psychopath The Joker (Heath Ledger) that brings a wave of violence and murders. The Joker promises to kill prominent citizens of Gothan City unless Batman discloses his identity  and tries to prove the malice and darkness of the human nature and destroy the hope of the dwellers of Gothan City.""The Dark Knight"" is a great surprise for a blockbuster  with a solid and deep story  great direction  performances  special effects and make-up. The adventure is also dramatic  with magnificent lines and discussions about ethics  morality  human nature  hope and other important themes. The cast has great performances and Heath Ledger is excellent in the role of the psychopath The Joker  and using the movement of lips and tongue visibly inspired in T-Bag  from ""Prison Break""  and brilliantly performed by Robert Knepper. But his nomination is emotionally affected by his death. In the end  ""The Dark Knight"" is a great movie  the best of the Batman franchise and one of the best of the genre in 2008  but the IMDb User Rating (Top 250: #4) is absolutely overrated  ridiculous and disrespectful with the classics of the cinema history and the credibility of IMDb's Rating; but ""sometimes the truth is not good enough"". My vote is nine.Title (Brazil): ""O Cavaleiro das Trevas"" (""The Dark Knight"")",negative
9,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,0,"Impressive blockbuster with dark tone  plot  characters and delivery making its satisfyingly ""grown-up""",2008-09-11,"Batman has proved successful in cleaning up the streets and a fresh new DA  Harvey Dent  is keen to clean up the mobsters in one big conspiracy case. Naturally an unpopular move  particularly with the psychotic villain known as ""The Joker""  who makes it his mission to unveil the identity of the Batman  before killing him. The Joker begins his reign of terror  forcing the citizens of Gotham to wonder whether or not it was worth having a Batman if this is the sort of chaos that his presence unleashes. With the stakes raised higher than ever  Bruce Wayne struggles to hold onto his moral code in the face of villain whose only aim is to unleash chaos and panic across the city.I waited a few weeks for all the hype to die down  but I was looking forward to seeing this film because Batman Begins had done a great job of repairing a character and franchise that was in tatters as Schumacher's gaudy and unlikeable Happy Meal-selling film had finished with it. I was hoping for more of the same as The Dark Knight did not disappoint as the tone continues to be dark and as realistic as a film can be when it is about a man dressed as a bat. The film is a summer blockbuster but yet it manages to at least get close to a really engaging and interesting plot  this is a joyful far cry from The Fantastic Four and the like  this feels like a film that is marketed to me  not my children. As such the plot does offer some good moralising and conflicts that are what I expected from the damaged ""hero"" of Batman and the freaks he is up against. Again  it is not a ""proper"" drama but these elements are effective within the bigger picture and they only help draw the viewer into the story and characters.The fact that it does engage also means that the action is much more effective. I watched Wanted the other night where everything was so simplistic and dumb that I never cared and the action was only effects. Here the tone is deadly serious and the action feels urgent and dangerous. This has produced the problem in the UK over the rating and I do think that it should have been a 15  although I can understand why it got a 12A. Problem for the certification body is that the film doesn't contain much in the way of graphic acts but it is the tone that is so very harsh and dark  thus making it feel much more violent than it actually is. For me this is not a problem as the film is not for children and I am not a child  but I can sort of see why The Daily Mail jumped on it as the destruction of the mankind or whatever they said it was going to do to our children. I do like the dark tone though and it is not just a visual thing or something in a specific few scenes but rather woven through the whole film. It starts with the characters and performances and of course comes across in the direction and cinematography  which is suitably dark and Gothic without being camp or unrealistic.The cast do good work but all are in the shadow of Ledger  not because it is fashionable to praise him but because his is a great turn and makes the film. I do feel sorry for Jack Nicholson because his Joker now looks like a childishly simple creation that is a bit of cheesy fun but no more. With Ledger we genuinely feel unnerved with him on the screen  his clothes and make-up being all part of this unhinged creation with his ticks and hair-trigger air; his performance is part of the film working as well as it does as he sells the character and the material. If he does get an Oscar nod  it will not (just) be for sympathy  but because he genuinely is that good. Bale finds himself a supporting player in his own film but deals with it well; not sure about his laughably gruff voice as Batman though  it just distracts. Eckhart is a good bit of casting because he normally plays morally dubious characters  so the contrast works at the start and he can work with the later stages. Gyllenhaal has her critics but she is much better than Holmes and stands up well with the all-male cast. The supporting cast offer the usual quality in Oldman  Caine and Freeman as well as other faces in minor roles such as Roberts  a returning Murphy  Carbonell  McFarlane  White  Fichtner  Lister and others.The Dark Knight is a great film. The dark tone  good plotting  strong characters  performances and overall design and delivery all make for a grown-up blockbuster that is heads and shoulders above its peers. Ledger is impressive and drives the film forward in an adult and engaging way. Parents with the legal ability to take their four year olds should think twice  because this is not a kiddie blockbuster  but for everyone else there is a great deal to enjoy here.",positive
10,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg,10,Watch the IMAX version if you can,2008-09-14,"I had the pleasure to watch this movie in an IMAX theatre in London (it advertises itself  with the slogan ""Biggest screen in the UK"")  which was one of the greatest movie experiences I had in my life. And it was my first movie in an IMAX theatre. I can only recommend it for anyone who has the chance to watch it  even if not the entire movie is shot for an IMAX theatre  this still is able to blow someone away! Great visuals combined with a great story and superb acting.The movie could also have been called ""The Joker""  but even with Heath Ledgers great performance  this still is a Batman movie. And ""The Dark Knight"" is clear enough  even without the Batman in the title. I simply loved the movie  but I heard some complaints from some friends. It seems that some might have a problem with the depiction of the characters (I loved Heath Ledger  but there are a few out there who would have wanted to see him even crazier) or the plot threads (especially what is done with the character of Aaron Eckhart). Although I can see why that might be a problem for fans of the comic books  I still stand by my vote. This is the best Batman movie ever (until hopefully Nolan and Bale make the next one)!",positive
